disasterNumber,declarationType,incidentType,stateCode,region,declarationDate,declarationRequestDate,incidentBeginDate,incidentEndDate,iaProgramDeclared,paProgramDeclared,hmProgramDeclared
5243,Fire Management,Fire,OR,10,2018-06-22T00:00:00.000Z,2018-06-21T00:00:00.000Z,2018-06-21T00:00:00.000Z,2018-06-25T00:00:00.000Z,0.0,1.0,1.0
5554,Fire Management,Fire,SC,4,2025-03-07T00:00:00.000Z,2025-03-07T00:00:00.000Z,2025-03-01T00:00:00.000Z,,0.0,1.0,1.0
4859,Major Disaster,Severe Storm,AK,10,2025-01-15T00:00:00.000Z,2024-12-16T00:00:00.000Z,2024-10-20T00:00:00.000Z,2024-10-23T00:00:00.000Z,0.0,1.0,1.0
4856,Major Disaster,Fire,CA,9,2025-01-08T00:00:00.000Z,2025-01-08T00:00:00.000Z,2025-01-07T00:00:00.000Z,2025-01-31T00:00:00.000Z,0.0,1.0,1.0
5551,Fire Management,Fire,CA,9,2025-01-08T00:00:00.000Z,2025-01-08T00:00:00.000Z,2025-01-07T00:00:00.000Z,,0.0,1.0,1.0
5550,Fire Management,Fire,CA,9,2025-01-08T00:00:00.000Z,2025-01-07T00:00:00.000Z,2025-01-07T00:00:00.000Z,,0.0,1.0,1.0
5549,Fire Management,Fire,CA,9,2025-01-07T00:00:00.000Z,2025-01-07T00:00:00.000Z,2025-01-07T00:00:00.000Z,,0.0,1.0,1.0
4854,Major Disaster,Fire,OR,10,2025-01-01T00:00:00.000Z,2024-10-21T00:00:00.000Z,2024-07-10T00:00:00.000Z,2024-08-23T00:00:00.000Z,0.0,1.0,1.0
53,Major Disaster,Tornado,MI,5,1956-04-05T00:00:00.000Z,1956-04-05T00:00:00.000Z,1956-04-05T00:00:00.000Z,1956-04-05T00:00:00.000Z,1.0,1.0,1.0
52,Major Disaster,Flood,NY,2,1956-03-29T00:00:00.000Z,1956-03-29T00:00:00.000Z,1956-03-29T00:00:00.000Z,1956-03-29T00:00:00.000Z,1.0,1.0,1.0
4852,Major Disaster,Fire,ND,8,2024-12-24T00:00:00.000Z,2024-11-21T00:00:00.000Z,2024-10-05T00:00:00.000Z,2024-10-06T00:00:00.000Z,0.0,1.0,1.0
5548,Fire Management,Fire,CA,9,2024-12-10T00:00:00.000Z,2024-12-10T00:00:00.000Z,2024-12-10T00:00:00.000Z,2024-12-18T00:00:00.000Z,0.0,1.0,1.0
4851,Major Disaster,Tropical Storm,WV,3,2024-12-09T00:00:00.000Z,2024-10-25T00:00:00.000Z,2024-09-25T00:00:00.000Z,2024-09-28T00:00:00.000Z,0.0,0.0,1.0
4849,Major Disaster,Fire,WA,10,2024-11-26T00:00:00.000Z,2024-10-16T00:00:00.000Z,2024-07-17T00:00:00.000Z,2024-08-21T00:00:00.000Z,0.0,1.0,1.0
4847,Major Disaster,Severe Storm,MT,8,2024-11-14T00:00:00.000Z,2024-10-05T00:00:00.000Z,2024-08-06T00:00:00.000Z,2024-08-06T00:00:00.000Z,0.0,0.0,1.0
4846,Major Disaster,Mud/Landslide,AK,10,2024-11-13T00:00:00.000Z,2024-10-24T00:00:00.000Z,2024-08-25T00:00:00.000Z,2024-08-25T00:00:00.000Z,0.0,1.0,1.0
